Method,D,V,M,L,HT
Wave,0.6016832120751588,0.27177986957473677,-0.18618931381346895,6.843044702400735,290.2544809099519
Wave,-0.1615367817818761,0.0752657971376387,-0.42796662260198237,0.4612125831122991,37.68894894330187
Wave,0.2412299049827636,0.06353017544360341,-0.3382758048207278,0.41206267682605935,37.999461285044866
Wave,0.16463826583368035,0.18398585025031358,-0.403923515919873,0.6329724992066429,68.13878597024521
Wave,-0.4700703068902642,0.034184332485173295,-0.26472918142198715,0.4653726966980423,38.82899635933443
Wave,-0.16647500986507616,0.02351076038508044,-0.42593170799208074,0.4434194572160755,33.086510722358135
Wave,-0.10526510537476112,0.18266365958490416,-0.2365267468657691,0.35754573497052583,62.27415008291666
Wave,0.05280029695056106,0.12970976873844417,-0.34561212867078045,0.38690209602467174,55.76188557914659
Wave,0.07647796868036517,0.05980221516464153,-0.4139907817260305,0.23889950618573944,43.31171685431088
Wave,0.1508419048302696,0.0966041403956872,-0.35340775819173337,0.3481862123020643,54.08535647030564
Wave,-0.29601074489000034,0.017250942296711414,-0.37442462751314615,0.40451874466256194,34.107599311593646
Wave,0.28318046508344435,0.10391548165800694,-0.4859608919044245,0.3596594747655018,49.91116397929367
Wave,0.1399704949691268,0.13723050634313244,-0.3914895194195523,0.45620788219022845,64.61421892413922
Wave,0.10787417900269455,0.12194723675666572,-0.36719653792558293,0.42598758880185694,44.15072062711663
Wave,-0.02339649928375582,0.11741453468093224,-0.3756939610343932,0.385599959056753,41.918377074321356
Wave,-0.2376079251839955,0.009003250093437753,-0.47035661283665803,0.39905112556972794,36.35493558327486
Wave,0.13098570642747973,0.07161642371180241,-0.3254532196208663,0.3588295725320088,43.61407906750099
Wave,0.07069624642615191,0.1096947939975315,-0.19872203825365825,0.36646335858591517,33.236800006767574
Wave,-0.4135965788021416,0.14718818171351003,-0.2372994573833053,0.45771360347704865,27.296044540979686
Wave,-0.5305953316129156,0.058828355325864314,-0.29608764537463494,0.4660413714099506,34.470335018527955
Wave,0.09461916436553579,0.010230041897732875,-0.3932213040707656,0.23601612804516303,41.88179775084302
Wave,0.3221374083488163,0.107401264629098,-0.21090964086625258,0.5640686453562092,62.08802372367959
Wave,0.08745833583399593,0.11987938887020184,-0.34136363692057464,0.17395351611237794,41.88986048947114
